tconst,originalTitle,isAdult,startYear,runtimeMinutes,averageRating,numVotes,title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,poster_url,original_language
tt0068786,Junior Bonner,0,1972,100,6.7,6271,Junior Bonner : Le Dernier Bagarreur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0068805,The King of Marvin Gardens,0,1972,103,6.5,5461,The King of Marvin Gardens,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0068814,Kozijat rog,0,1972,105,8.2,2613,La corne de chèvre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tt0068815,Kozure Ôkami: Ko wo kashi ude kashi tsukamatsuru,0,1972,84,7.7,7976,Baby Cart: le sabre de la vengeance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ja
tt0068816,Kozure Ôkami: Sanzu no kawa no ubaguruma,0,1972,82,7.9,6167,"Kozure Ôkami, l'enfant massacré",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ja
tt0068817,Kozure Ôkami: Shinikazeni mukau ubaguruma,0,1972,89,7.5,5031,Baby Cart: Dans la terre de l'ombre,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ja
tt0068833,The Last House on the Left,0,1972,84,5.9,36839,La Dernière Maison sur la gauche,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,en
tt0068853,The Life and Times of Judge Roy Bean,0,1972,120,6.9,8186,Juge et hors-la-loi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0068863,Lisa e il diavolo,0,1974,95,6.3,4664,Lisa et le diable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,en
tt0068897,The Magnificent Seven Ride!,0,1972,100,5.6,2887,La Chevauchée des 7 mercenaires,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,en
tt0068902,La mala ordina,0,1972,95,7.1,2342,La famille l'ordonne,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,it
tt0068909,Man of La Mancha,0,1972,132,6.5,4324,L'homme de la Manche,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,en
tt0068920,Antony and Cleopatra,0,1972,138,5.8,1009,Antoine et Cléopâtre,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
tt0068931,The Mechanic,0,1972,100,6.8,13893,Le flingueur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,en
